Year,Champion_Country,Champion,Runner_up_Country,Runner-up,Score_in_final
2016,SRB,Novak Djokovic,GBR,Andy Murray,"6–1, 7–5, 7–6(7–3)"
2017,SUI,Roger Federer,ESP,Rafael Nadal,"6–4, 3–6, 6–1, 3–6, 6–3"
2018,SUI,Roger Federer,CRO,Marin Čilić,"6–2, 6–7(5–7), 6–3, 3–6, 6–1"
2019,SRB,Novak Djokovic,ESP,Rafael Nadal,"6–3, 6–2, 6–3"
2020,SRB,Novak Djokovic,AUT,Dominic Thiem,"6–4, 4–6, 2–6, 6–3, 6–4"
2021,SRB,Novak Djokovic,RUS,Daniil Medvedev,"7–5, 6–2, 6–2"
2022,ESP,Rafael Nadal,RUS,Daniil Medvedev,"2–6, 6–7(5–7), 6–4, 6–4, 7–5"
2023,SRB,Novak Djokovic,GRE,Stefanos Tsitsipas,"6–3, 7–6(7–4), 7–6(7–5)"
2024,ITA,Jannik Sinner,RUS,Daniil Medvedev,"3–6, 3–6, 6–4, 6–4, 6–3"
2025,ITA,Jannik Sinner,GER,Alexander Zverev,"6–3, 7–6(7–4), 6–3"
